The train model is : ./model/Sougoumodel_epoch_9.bin
The logger information is saved in : ./train_data/job_logger.txt
	 batch = 17400 	 loss = 2.42692 	 cost_time = 1832.221s
	 batch = 17500 	 loss = 3.34888 	 cost_time = 1837.466s
	 batch = 17600 	 loss = 4.89144 	 cost_time = 1842.341s
	 batch = 17700 	 loss = 3.90657 	 cost_time = 1847.516s
	 batch = 17800 	 loss = 2.37182 	 cost_time = 1852.416s
	 batch = 17900 	 loss = 4.88532 	 cost_time = 1857.402s
	 batch = 18000 	 loss = 3.95468 	 cost_time = 1863.227s
	 batch = 18100 	 loss = 3.22612 	 cost_time = 1868.365s
	 batch = 18200 	 loss = 3.28498 	 cost_time = 1873.531s
	 batch = 0 	 loss = 3.81238 	 cost_time = 1876.102s
	 batch = 100 	 loss = 3.31614 	 cost_time = 1881.017s
	 batch = 200 	 loss = 5.64330 	 cost_time = 1885.965s
	 batch = 300 	 loss = 2.49026 	 cost_time = 1891.022s
	 batch = 400 	 loss = 4.52796 	 cost_time = 1895.849s
	 batch = 500 	 loss = 1.96944 	 cost_time = 1900.821s
	 batch = 600 	 loss = 3.25705 	 cost_time = 1905.715s
	 batch = 700 	 loss = 4.54154 	 cost_time = 1910.618s
	 batch = 800 	 loss = 3.95582 	 cost_time = 1915.290s
	 batch = 900 	 loss = 3.71820 	 cost_time = 1920.309s
	 batch = 1000 	 loss = 3.25281 	 cost_time = 1926.049s
	 batch = 1100 	 loss = 1.97881 	 cost_time = 1930.972s
	 batch = 1200 	 loss = 3.38056 	 cost_time = 1935.534s
	 batch = 1300 	 loss = 4.57566 	 cost_time = 1940.788s
	 batch = 1400 	 loss = 2.44296 	 cost_time = 1946.429s
	 batch = 1500 	 loss = 3.93337 	 cost_time = 1951.394s
	 batch = 1600 	 loss = 5.07253 	 cost_time = 1956.349s
	 batch = 1700 	 loss = 3.06144 	 cost_time = 1961.449s
	 batch = 1800 	 loss = 5.35829 	 cost_time = 1966.433s
	 batch = 1900 	 loss = 1.94226 	 cost_time = 1971.385s
	 batch = 2000 	 loss = 3.60827 	 cost_time = 1976.998s
	 batch = 2100 	 loss = 3.26939 	 cost_time = 1982.335s
	 batch = 2200 	 loss = 5.31264 	 cost_time = 1987.346s
	 batch = 2300 	 loss = 5.17333 	 cost_time = 1992.356s
	 batch = 2400 	 loss = 3.20747 	 cost_time = 1997.349s
	 batch = 2500 	 loss = 4.02202 	 cost_time = 2002.416s
	 batch = 2600 	 loss = 3.79043 	 cost_time = 2007.612s
	 batch = 2700 	 loss = 3.57893 	 cost_time = 2012.912s
	 batch = 2800 	 loss = 3.61254 	 cost_time = 2017.888s
	 batch = 2900 	 loss = 5.86542 	 cost_time = 2023.176s
	 batch = 3000 	 loss = 3.29778 	 cost_time = 2029.145s
	 batch = 3100 	 loss = 2.05985 	 cost_time = 2034.182s
	 batch = 3200 	 loss = 4.48991 	 cost_time = 2039.420s
	 batch = 3300 	 loss = 4.84244 	 cost_time = 2044.508s
	 batch = 3400 	 loss = 4.05572 	 cost_time = 2049.378s
	 batch = 3500 	 loss = 2.66417 	 cost_time = 2054.392s
	 batch = 3600 	 loss = 2.13609 	 cost_time = 2059.695s
	 batch = 3700 	 loss = 3.71834 	 cost_time = 2064.604s
	 batch = 3800 	 loss = 2.98916 	 cost_time = 2069.741s
	 batch = 3900 	 loss = 1.74517 	 cost_time = 2074.618s
	 batch = 4000 	 loss = 4.19371 	 cost_time = 2080.294s
	 batch = 4100 	 loss = 4.09065 	 cost_time = 2085.537s
	 batch = 4200 	 loss = 2.42534 	 cost_time = 2090.749s
	 batch = 4300 	 loss = 3.83728 	 cost_time = 2095.730s
	 batch = 4400 	 loss = 3.45630 	 cost_time = 2100.445s
